tese_id,total,unicas,lang,framework,hardware,algoritmo,protocolo,instituicao,empresa,autor,metodo
01,67,22,1,7,4,9,9,3,0,0,34
03,85,31,5,3,0,31,0,9,7,8,22
05,91,25,3,5,2,39,0,9,13,2,18
09,87,14,3,0,0,20,2,9,5,1,47
11,242,47,27,8,120,21,0,10,11,16,29
12,310,64,18,6,116,90,6,14,14,33,13
13,310,64,18,6,116,90,6,14,14,33,13
14,256,37,11,31,117,5,2,8,11,11,60
15,253,32,49,24,0,89,32,10,2,7,40
16,220,32,4,6,112,35,0,15,3,21,24
17,329,44,15,9,105,121,19,10,21,15,14
18,110,16,2,1,1,54,0,11,0,19,22
19,98,19,1,10,13,23,36,6,2,3,4
